-0.750,1.000,0.894,0.231,0.122
-1.250,1.000,0.894,0.231,0.122
-1.000,0.600,0.894,0.231,0.122
0.000,1.000,0.894,0.231,0.122
-0.750,1.000,0.894,0.231,0.122
-0.500,0.600,0.894,0.231,0.122
0.625,1.000,0.733,0.055,0.141
0.000,1.000,0.894,0.231,0.122
0.375,0.600,0.667,0.043,0.145
1.250,1.000,0.376,0.008,0.075
0.625,1.000,0.733,0.055,0.141
0.875,0.400,0.435,0.012,0.125
-1.000,0.600,0.894,0.231,0.122
-1.250,1.000,0.894,0.231,0.122
-1.250,0.200,0.890,0.169,0.114
-0.750,0.400,0.898,0.298,0.133
-1.000,0.600,0.894,0.231,0.122
-1.250,0.200,0.890,0.169,0.114
-0.500,0.600,0.894,0.231,0.122
-0.750,1.000,0.894,0.231,0.122
-1.000,0.600,0.894,0.231,0.122
-0.500,0.600,0.894,0.231,0.122
-1.000,0.600,0.894,0.231,0.122
-0.750,0.400,0.898,0.298,0.133
0.000,0.300,0.639,0.039,0.149
0.000,1.000,0.894,0.231,0.122
-0.500,0.600,0.894,0.231,0.122
0.000,0.300,0.639,0.039,0.149
0.375,0.600,0.667,0.043,0.145
0.000,1.000,0.894,0.231,0.122
0.875,0.400,0.435,0.012,0.125
0.625,1.000,0.733,0.055,0.141
0.375,0.600,0.667,0.043,0.145
1.250,0.100,0.392,0.008,0.102
1.250,1.000,0.376,0.008,0.075
0.875,0.400,0.435,0.012,0.125
0.375,-0.000,0.388,0.008,0.102
0.375,0.600,0.667,0.043,0.145
0.000,0.300,0.639,0.039,0.149
-0.375,-0.000,0.667,0.043,0.145
-0.500,0.600,0.894,0.231,0.122
-0.750,0.400,0.898,0.298,0.133
0.000,0.300,0.639,0.039,0.149
-0.500,0.600,0.894,0.231,0.122
-0.375,-0.000,0.667,0.043,0.145
-0.750,-0.100,0.878,0.086,0.110
-0.750,0.400,0.898,0.298,0.133
-1.250,0.200,0.890,0.169,0.114
-0.750,-0.100,0.878,0.086,0.110
-1.250,0.200,0.890,0.169,0.114
-1.250,-0.640,0.667,0.043,0.145
-0.375,-0.000,0.667,0.043,0.145
-0.750,0.400,0.898,0.298,0.133
-0.750,-0.100,0.878,0.086,0.110
0.375,-0.000,0.388,0.008,0.102
0.000,0.300,0.639,0.039,0.149
-0.375,-0.000,0.667,0.043,0.145
0.875,0.400,0.435,0.012,0.125
0.375,0.600,0.667,0.043,0.145
0.375,-0.000,0.388,0.008,0.102
1.250,0.100,0.392,0.008,0.102
0.875,0.400,0.435,0.012,0.125
0.375,-0.000,0.388,0.008,0.102
-0.375,-0.500,0.424,0.012,0.118
-0.750,-0.100,0.878,0.086,0.110
-1.250,-0.640,0.667,0.043,0.145
-0.375,-0.500,0.424,0.012,0.118
-0.375,-0.000,0.667,0.043,0.145
-0.750,-0.100,0.878,0.086,0.110
0.125,-0.500,0.376,0.008,0.090
-0.375,-0.000,0.667,0.043,0.145
-0.375,-0.500,0.424,0.012,0.118
0.125,-0.500,0.376,0.008,0.090
0.375,-0.000,0.388,0.008,0.102
-0.375,-0.000,0.667,0.043,0.145
0.625,-0.400,0.357,0.004,0.071
0.375,-0.000,0.388,0.008,0.102
0.125,-0.500,0.376,0.008,0.090
0.625,-0.400,0.357,0.004,0.071
1.250,0.100,0.392,0.008,0.102
0.375,-0.000,0.388,0.008,0.102
1.250,-1.000,0.400,0.008,0.098
1.250,0.100,0.392,0.008,0.102
0.625,-0.400,0.357,0.004,0.071
1.250,-1.000,0.400,0.008,0.098
0.625,-0.400,0.357,0.004,0.071
0.375,-1.000,0.286,0.004,0.035
0.375,-1.000,0.286,0.004,0.035
0.625,-0.400,0.357,0.004,0.071
0.125,-0.500,0.376,0.008,0.090
0.375,-1.000,0.286,0.004,0.035
0.125,-0.500,0.376,0.008,0.090
-0.500,-1.000,0.341,0.004,0.059
-0.500,-1.000,0.341,0.004,0.059
0.125,-0.500,0.376,0.008,0.090
-0.375,-0.500,0.424,0.012,0.118
-0.500,-1.000,0.341,0.004,0.059
-0.375,-0.500,0.424,0.012,0.118
-1.250,-1.000,0.373,0.004,0.078
-1.250,-0.640,0.667,0.043,0.145
-1.250,-1.000,0.373,0.004,0.078
-0.375,-0.500,0.424,0.012,0.118
